Year,Elec_cost
2007,0.10237
2006,0.09788
2005,0.09788
2004,0.09788
2003,0.09616
2002,0.09827
2001,0.0914
2000,0.0921
1999,0.09385
1998,0.09515
1997,0.0979
1996,0.10215
1995,0.10115
1994,0.10365
1993,0.10225
1992,0.0971
1991,0.09465
1990,0
1989,0
1988,0
1987,0
1986,0
1985,0
2019,0.14472
2018,0.14905
2017,0.13075
2016,0.13046
2015,0.13195
2014,0.12927
2013,0.1285
2012,0.12131
2011,0.11862
2010,0.11232
2009,0.10775
2008,0.10765
