Year,Elec_Source,Value
2009,Geothermal,19
2009,Solar PV,6583
2010,Coal,273456
2010,Solar thermal,0
2010,Wind,37793
2010,Tide,0
2010,Other sources,2317
2010,Oil,8741
2010,Natural gas,90352
2010,Biofuels,29559
2010,Waste,11099
2010,Nuclear,140556
2010,Hydro,27353
2010,Geothermal,28
2010,Solar PV,11729
2011,Coal,272380
2011,Solar thermal,0
2011,Wind,48883
2011,Tide,0
2011,Other sources,2312
2011,Oil,7162
2011,Natural gas,87229
2011,Biofuels,32846
2011,Waste,11156
2011,Nuclear,107971
2011,Hydro,23511
2011,Geothermal,19
2011,Solar PV,19599
2012,Coal,287013
2012,Solar thermal,0
2012,Wind,50670
2012,Tide,0
2012,Other sources,2004
2012,Oil,7627
2012,Natural gas,77602
2012,Biofuels,39678
2012,Waste,11504
2012,Nuclear,99460
2012,Hydro,27849
2012,Geothermal,25
2012,Solar PV,26380
2013,Coal,299011
2013,Solar thermal,0
2013,Wind,51708
2013,Tide,0
2013,Other sources,1765
2013,Oil,7198
2013,Natural gas,68737
2013,Biofuels,41154
2013,Waste,11994
2013,Nuclear,97290
2013,Hydro,28782
2013,Geothermal,80
2013,Solar PV,31010
2014,Coal,284911
2014,Solar thermal,0
2014,Wind,57357
2014,Tide,0
2014,Other sources,2023
2014,Oil,5659
2014,Natural gas,62270
2014,Biofuels,43345
2014,Waste,13503
2014,Nuclear,97129
2014,Hydro,25444
2014,Geothermal,98
2014,Solar PV,36056
2015,Coal,283710
2015,Solar thermal,0
2015,Wind,79206
2015,Tide,0
2015,Other sources,1823
2015,Oil,6209
2015,Natural gas,63017
2015,Biofuels,44555
2015,Waste,12824
2015,Nuclear,91786
2015,Hydro,24898
2015,Geothermal,134
2015,Solar PV,38726
2016,Coal,273196
2016,Solar thermal,0
2016,Wind,78598
2016,Tide,0
2016,Other sources,1888
2016,Oil,5846
2016,Natural gas,82294
2016,Biofuels,44994
2016,Waste,13261
2016,Nuclear,84634
2016,Hydro,26135
2016,Geothermal,175
2016,Solar PV,38098
2017,Coal,252824
2017,Solar thermal,0
2017,Wind,105693
2017,Tide,0
2017,Other sources,1701
2017,Oil,5571
2017,Natural gas,87685
2017,Biofuels,44973
2017,Waste,13247
2017,Nuclear,76324
2017,Hydro,26155
2017,Geothermal,163
2017,Solar PV,39401
2018,Coal,241479
2018,Solar thermal,0
2018,Wind,111590
2018,Tide,0
2018,Other sources,1662
2018,Oil,5231
2018,Natural gas,85043
2018,Biofuels,45101
2018,Waste,13244
2018,Nuclear,76005
2018,Hydro,24170
2018,Geothermal,167
2018,Solar PV,46164
